crop,location,quality,market_price,quantity
Beans,Thanjavur,B,47.96,459
Okra,Trichy,A,48.42,460
Okra,Coimbatore,A,54.41,461
Carrot,Trichy,A,41.03,462
Onion,Vellore,A,39.05,463
Tomato,Salem,B,30.16,464
Onion,Madurai,B,33.11,465
Potato,Salem,C,20.52,466
Beans,Madurai,B,52.25,467
Cauliflower,Dindigul,C,29.95,468
Beans,Madurai,B,50.05,469
Cabbage,Vellore,B,22.88,470
Chilli,Vellore,A,68.78,471
Brinjal,Tirunelveli,B,29.64,472
Chilli,Erode,C,52.83,473
Potato,Chennai,B,28.78,474
Carrot,Salem,B,37.49,475
Onion,Chennai,B,35.12,476
Carrot,Thanjavur,C,28.26,477
Beans,Trichy,A,56.39,478
Chilli,Vellore,B,59.81,479
Onion,Madurai,C,29.81,480
Carrot,Madurai,B,37.21,481
Brinjal,Chennai,A,38.5,482
Cauliflower,Thanjavur,A,36.58,483
Chilli,Vellore,A,68.8,484
Tomato,Vellore,C,25.29,485
Cabbage,Vellore,A,27.47,486
Brinjal,Thanjavur,A,32.23,487
Onion,Tirunelveli,B,32.38,488
Carrot,Salem,A,42.12,489
Okra,Thanjavur,A,46.38,490
Carrot,Madurai,A,44.52,491
Tomato,Salem,C,24.87,492
Beans,Erode,B,51.09,493
Potato,Vellore,C,20.14,494
Cabbage,Madurai,A,27.31,495
Beans,Coimbatore,B,52.21,496
Chilli,Tirunelveli,C,49.89,497
Cabbage,Chennai,A,28.98,498
Carrot,Trichy,A,40.6,499
Onion,Thanjavur,C,24.89,500
Potato,Salem,A,29.08,501
Potato,Salem,B,24.36,502
Cauliflower,Chennai,A,42.6,503
Brinjal,Vellore,B,32.49,504
Cauliflower,Vellore,B,36.81,505
Cauliflower,Dindigul,A,41.8,506
Cabbage,Tirunelveli,A,23.41,507
Tomato,Coimbatore,A,36.89,508
Potato,Trichy,A,27.52,509
Okra,Vellore,A,50.03,510
Onion,Chennai,A,41.64,511
Beans,Erode,A,58.5,512
Tomato,Dindigul,A,32.25,513
Tomato,Madurai,B,29.04,514
Potato,Vellore,B,27.03,515
Okra,Tirunelveli,C,34.13,516
Onion,Trichy,A,36.34,517
Tomato,Tirunelveli,C,22.51,518
Cauliflower,Dindigul,B,35.07,519
Cauliflower,Salem,B,35.02,520
Okra,Salem,A,50.69,521
Chilli,Vellore,B,61.35,522
Okra,Trichy,B,42.05,523
Carrot,Dindigul,C,31.31,524
Chilli,Salem,B,60.21,525
Carrot,Trichy,B,35.42,526
Carrot,Salem,A,42.52,527
Brinjal,Chennai,A,39.9,528
Beans,Salem,A,55.99,529
Chilli,Thanjavur,A,63.73,530
Beans,Dindigul,B,49.47,531
Beans,Chennai,C,43.9,532
Potato,Dindigul,B,25.02,533
Okra,Chennai,B,46.29,534
Tomato,Chennai,B,30.26,535
Onion,Trichy,B,32.05,536
Brinjal,Thanjavur,A,32.18,537
Beans,Salem,B,49.14,538
Okra,Madurai,B,42.3,539
Onion,Tirunelveli,C,25.09,540
Chilli,Vellore,A,68.23,541
Beans,Vellore,A,55.46,542
Carrot,Vellore,B,37.8,543
Okra,Dindigul,B,43.99,544
Beans,Salem,B,48.06,545
Cauliflower,Thanjavur,C,27.52,546
Chilli,Salem,C,49.99,547
Beans,Tirunelveli,B,47.95,548
Brinjal,Madurai,B,31.98,549
Chilli,Erode,A,70.92,550
Beans,Tirunelveli,A,53.95,551
Brinjal,Madurai,A,35.94,552
Brinjal,Dindigul,B,31.33,553
Cabbage,Dindigul,A,26.98,554
Beans,Vellore,B,49.36,555
Potato,Trichy,A,27.18,556
Carrot,Dindigul,C,31.71,557
Onion,Thanjavur,A,34.41,558
Carrot,Chennai,C,32.97,559
Beans,Madurai,A,59.03,560
Beans,Madurai,B,49.59,561
Cauliflower,Tirunelveli,A,37.65,562
Beans,Chennai,C,44.89,563
Chilli,Madurai,A,68.1,564
Potato,Chennai,C,24.57,565
Brinjal,Vellore,C,27.52,566
Carrot,Dindigul,A,42.84,567
Carrot,Tirunelveli,B,35.23,568
Onion,Dindigul,B,30.71,569
Cabbage,Trichy,A,23.9,570
Potato,Salem,A,27.88,571
Brinjal,Thanjavur,B,27.46,572
Cauliflower,Erode,A,42.92,573
Cauliflower,Coimbatore,C,33.63,574
Carrot,Tirunelveli,C,28.62,575
Tomato,Coimbatore,A,37.79,576
Beans,Chennai,A,60.36,577
Carrot,Dindigul,B,36.99,578
Chilli,Coimbatore,C,55.33,579
Okra,Vellore,C,38.49,580
Potato,Chennai,A,33.0,581
Okra,Dindigul,A,49.28,582
Potato,Tirunelveli,A,27.57,583
Potato,Erode,B,27.66,584
Cauliflower,Coimbatore,B,39.6,585
Chilli,Dindigul,A,67.16,586
Brinjal,Trichy,B,29.93,587
Beans,Trichy,C,39.8,588
Brinjal,Trichy,B,30.29,589
Chilli,Tirunelveli,A,65.43,590
Okra,Chennai,C,40.31,591
Cabbage,Vellore,B,23.74,592
Cauliflower,Vellore,B,35.68,593
Beans,Trichy,B,49.84,594
Chilli,Erode,A,70.44,595
Chilli,Erode,C,51.17,596
Brinjal,Trichy,C,25.53,597
Tomato,Thanjavur,B,24.86,598
Brinjal,Thanjavur,A,33.1,599
Carrot,Erode,B,38.85,600
Chilli,Coimbatore,A,71.28,601
Cauliflower,Madurai,A,41.76,602
Carrot,Tirunelveli,C,30.01,603
Potato,Thanjavur,A,26.0,604
Chilli,Trichy,A,66.84,605
Onion,Salem,A,37.45,606
Cauliflower,Thanjavur,A,35.92,607
Onion,Thanjavur,B,30.57,608
Onion,Trichy,C,26.7,609
Carrot,Salem,A,42.38,610
Carrot,Salem,A,42.52,611
Potato,Salem,A,28.8,612
Tomato,Trichy,A,30.6,613
Beans,Coimbatore,B,52.43,614
Carrot,Trichy,B,34.45,615
Okra,Dindigul,B,42.81,616
Cauliflower,Dindigul,B,35.86,617
Chilli,Chennai,A,69.59,618
Cabbage,Trichy,B,22.25,619
Chilli,Tirunelveli,C,50.06,620
Chilli,Coimbatore,B,61.65,621
Chilli,Dindigul,C,49.94,622
Potato,Salem,B,24.92,623
Cauliflower,Erode,C,30.03,624
Beans,Tirunelveli,A,54.37,625
Onion,Madurai,A,38.63,626
Chilli,Trichy,C,48.8,627
Okra,Madurai,A,51.25,628
Beans,Coimbatore,C,45.16,629
Onion,Erode,C,29.0,630
Beans,Coimbatore,C,45.18,631
Tomato,Trichy,B,28.02,632
Chilli,Thanjavur,B,55.99,633
Chilli,Vellore,A,69.02,634
Brinjal,Tirunelveli,C,24.93,635
Onion,Coimbatore,B,37.44,636
Chilli,Chennai,A,70.0,637
Potato,Salem,A,27.96,638
Brinjal,Trichy,B,28.87,639
Brinjal,Erode,B,33.3,640
Potato,Trichy,B,24.19,641
Tomato,Coimbatore,B,32.96,642
Beans,Chennai,B,50.86,643
Potato,Madurai,B,26.41,644
Potato,Thanjavur,C,18.39,645
Okra,Coimbatore,A,54.02,646
Onion,Madurai,C,29.33,647
Beans,Coimbatore,C,45.31,648
Onion,Chennai,A,41.44,649
Cabbage,Thanjavur,A,23.15,650
Okra,Vellore,C,38.67,651
Brinjal,Chennai,C,27.92,652
Tomato,Erode,B,30.99,653
Potato,Thanjavur,C,17.29,654
Beans,Trichy,C,40.64,655
Beans,Thanjavur,C,37.17,656
Cabbage,Madurai,A,27.64,657
Okra,Tirunelveli,B,40.86,658
Cauliflower,Thanjavur,C,28.22,659
Chilli,Thanjavur,B,55.81,660
Chilli,Madurai,B,58.59,661
Tomato,Thanjavur,C,24.01,662
Carrot,Salem,B,38.44,663
Tomato,Dindigul,A,33.53,664
Okra,Vellore,A,50.04,665
Okra,Salem,C,36.66,666
Chilli,Salem,B,57.71,667
Onion,Erode,B,34.42,668
Beans,Chennai,A,58.98,669
Carrot,Tirunelveli,B,34.49,670
Cabbage,Salem,C,19.75,671
Cauliflower,Salem,C,29.32,672
Carrot,Thanjavur,A,37.99,673
Onion,Thanjavur,C,24.5,674
Brinjal,Tirunelveli,B,30.9,675
Chilli,Coimbatore,A,71.55,676
Cabbage,Thanjavur,B,18.14,677
Beans,Tirunelveli,B,46.64,678
Tomato,Erode,A,35.52,679
Cauliflower,Vellore,A,41.91,680
Potato,Madurai,C,22.2,681
Okra,Dindigul,A,49.94,682
Onion,Coimbatore,A,41.43,683
Carrot,Chennai,C,34.9,684
Tomato,Madurai,C,25.08,685
Tomato,Thanjavur,B,25.93,686
Carrot,Erode,B,37.85,687
Cabbage,Trichy,A,24.21,688
Tomato,Madurai,B,30.09,689
Cabbage,Madurai,A,28.01,690
Okra,Salem,B,42.38,691
Cauliflower,Chennai,B,37.61,692
Chilli,Coimbatore,B,62.5,693
Potato,Coimbatore,B,29.88,694
Carrot,Tirunelveli,B,36.81,695
Potato,Erode,A,30.11,696
Okra,Erode,B,44.15,697
Chilli,Trichy,B,57.03,698
Beans,Coimbatore,B,55.25,699
Chilli,Coimbatore,C,53.19,700
Tomato,Thanjavur,B,27.36,701
Tomato,Erode,C,25.27,702
Beans,Tirunelveli,B,48.17,703
Potato,Chennai,B,26.05,704
Brinjal,Dindigul,B,31.97,705
Beans,Dindigul,B,49.24,706
Cabbage,Coimbatore,A,31.04,707
Okra,Trichy,B,40.52,708
Chilli,Chennai,B,61.88,709
Potato,Dindigul,A,28.72,710
Potato,Salem,B,24.67,711
Onion,Thanjavur,A,34.88,712
Beans,Tirunelveli,B,47.77,713
Carrot,Dindigul,A,42.77,714
Carrot,Coimbatore,A,46.78,715
Chilli,Dindigul,C,50.54,716
Carrot,Erode,C,33.77,717
Carrot,Coimbatore,B,40.3,718
Onion,Salem,B,34.25,719
Cabbage,Dindigul,C,20.15,720
Beans,Coimbatore,A,61.28,721
Tomato,Tirunelveli,B,27.18,722
Cabbage,Trichy,B,21.28,723
Cabbage,Salem,A,27.15,724
Brinjal,Vellore,B,30.37,725
Potato,Thanjavur,B,21.69,726
Beans,Salem,A,56.54,727
Cauliflower,Coimbatore,A,45.23,728
Beans,Tirunelveli,A,54.88,729
Potato,Madurai,B,26.52,730
Okra,Trichy,A,49.12,731
Okra,Vellore,A,50.43,732
Brinjal,Dindigul,B,31.19,733
Cauliflower,Coimbatore,B,38.51,734
Potato,Tirunelveli,C,18.09,735
Brinjal,Salem,B,32.14,736
Chilli,Coimbatore,A,73.59,737
Cabbage,Thanjavur,A,21.39,738
Brinjal,Erode,B,33.16,739
Brinjal,Vellore,B,32.82,740
Cauliflower,Trichy,B,32.28,741
Potato,Chennai,A,30.96,742
Potato,Trichy,A,26.74,743
Brinjal,Dindigul,A,36.13,744
Brinjal,Chennai,C,27.97,745
Brinjal,Chennai,B,33.62,746
Potato,Dindigul,C,21.66,747
Chilli,Chennai,C,53.65,748
Beans,Erode,B,51.82,749
Brinjal,Madurai,B,31.13,750
Chilli,Thanjavur,C,48.5,751
Chilli,Tirunelveli,A,65.08,752
Potato,Thanjavur,A,25.89,753
Carrot,Coimbatore,B,40.31,754
Brinjal,Thanjavur,A,33.48,755
Okra,Salem,C,36.01,756
Brinjal,Erode,C,28.13,757
Tomato,Erode,C,26.05,758
Cabbage,Chennai,B,25.27,759
Carrot,Chennai,B,40.05,760
Potato,Coimbatore,A,32.83,761
Chilli,Tirunelveli,C,49.18,762
Cauliflower,Dindigul,B,34.53,763
Carrot,Vellore,B,37.78,764
Onion,Madurai,B,34.39,765
Brinjal,Coimbatore,A,39.91,766
Okra,Trichy,B,41.75,767
Cabbage,Chennai,B,24.93,768
Carrot,Erode,A,45.02,769
Cabbage,Coimbatore,B,27.14,770
Chilli,Vellore,A,68.8,771
Onion,Tirunelveli,A,35.81,772
Chilli,Salem,B,57.91,773
Tomato,Thanjavur,C,22.29,774
Beans,Erode,B,51.31,775
Chilli,Thanjavur,B,55.58,776
Beans,Dindigul,A,55.82,777
Beans,Tirunelveli,A,52.93,778
Tomato,Dindigul,A,32.46,779
Potato,Vellore,A,28.89,780
Potato,Dindigul,B,24.99,781
Chilli,Dindigul,A,67.83,782
Tomato,Chennai,B,32.38,783
Chilli,Tirunelveli,C,48.55,784
Cauliflower,Tirunelveli,C,26.87,785
Potato,Coimbatore,C,24.81,786
Carrot,Tirunelveli,C,29.36,787
Chilli,Salem,A,67.94,788
Brinjal,Coimbatore,B,35.8,789
Brinjal,Erode,A,38.69,790
Cabbage,Salem,B,22.39,791
Okra,Salem,C,37.08,792
Onion,Coimbatore,C,30.55,793
Chilli,Chennai,B,62.93,794
Beans,Coimbatore,B,53.04,795
Onion,Vellore,C,27.45,796
Potato,Thanjavur,B,20.84,797
Cabbage,Salem,A,26.75,798
Cauliflower,Tirunelveli,A,38.72,799
Carrot,Chennai,C,33.84,800
Onion,Chennai,A,39.82,801
Carrot,Coimbatore,A,46.69,802
Onion,Madurai,A,39.14,803
Beans,Salem,A,56.68,804
Okra,Chennai,A,53.03,805
Brinjal,Dindigul,C,26.27,806
Chilli,Tirunelveli,A,65.92,807
Tomato,Thanjavur,C,22.21,808
Potato,Trichy,B,24.63,809
Chilli,Salem,C,48.7,810
Beans,Dindigul,B,47.63,811
Onion,Erode,A,40.03,812
Chilli,Thanjavur,B,55.16,813
Carrot,Chennai,A,46.31,814
Cauliflower,Chennai,B,38.16,815
Beans,Salem,B,49.05,816
Potato,Coimbatore,C,25.27,817
Chilli,Salem,B,58.35,818
Cabbage,Coimbatore,B,27.15,819
Chilli,Salem,B,59.34,820
Cabbage,Vellore,A,29.47,821
Tomato,Thanjavur,C,21.46,822
Potato,Madurai,B,26.68,823
Onion,Vellore,B,33.92,824
Potato,Dindigul,A,29.07,825
Carrot,Thanjavur,A,38.35,826
Potato,Vellore,A,30.0,827
Onion,Coimbatore,B,36.32,828
Carrot,Dindigul,C,31.93,829
Onion,Salem,B,33.54,830
Cabbage,Trichy,A,24.54,831
Chilli,Dindigul,B,60.04,832
Onion,Trichy,C,28.2,833
Cauliflower,Madurai,C,30.01,834
Carrot,Salem,A,41.69,835
Chilli,Trichy,A,66.97,836
Cauliflower,Coimbatore,B,39.41,837
Brinjal,Chennai,B,35.7,838
Brinjal,Erode,A,37.15,839
Cauliflower,Thanjavur,C,27.1,840
Cauliflower,Salem,A,40.69,841
Cabbage,Coimbatore,A,30.25,842
Brinjal,Coimbatore,A,38.76,843
Okra,Coimbatore,B,46.83,844
Onion,Salem,B,32.86,845
Tomato,Salem,B,29.86,846
Onion,Tirunelveli,C,26.7,847
Carrot,Chennai,B,40.63,848
Brinjal,Dindigul,B,32.42,849
